Date,Array Type,Array Number,Tree Number,Soil horizon,Live weight (mg),Dead weight (mg),
06/03/2018,Control,5,85,A,56,0,
06/03/2018,Control,5,85,B,42,1,
06/03/2018,Control,5,6406,O,1400,18,
06/03/2018,Control,5,6406,A,196,11,
06/03/2018,Control,5,6406,B,143,0,
06/03/2018,Control,5,8086,O,264,17,
06/03/2018,Control,5,8086,A,1482,330,
06/03/2018,Control,5,8086,B,54,4,
06/03/2018,Treatment,6,5844,O,108,1,
06/03/2018,Treatment,6,5844,A,152,222,
06/03/2018,Treatment,6,5844,B,341,46,
06/03/2018,Treatment,6,5849,O,1118,173,
06/03/2018,Treatment,6,5849,A,978,118,
06/03/2018,Treatment,6,5849,B,446,32,
06/03/2018,Treatment,6,5850,O,242,8,
06/03/2018,Treatment,6,5850,A,709,93,
06/03/2018,Treatment,6,5850,B,474,0,
06/03/2018,Ghost,7,78,O,183,87,
06/03/2018,Ghost,7,78,A,202,0,
06/03/2018,Ghost,7,78,B,6264,36,
06/03/2018,Ghost,7,8313,O,15,29,
06/03/2018,Ghost,7,8313,A,167,73,
06/03/2018,Ghost,7,8313,B,387,74,
06/03/2018,Ghost,7,9801,O,930,45,
06/03/2018,Ghost,7,9801,A,573,20,
06/03/2018,Ghost,7,9801,B,261,6,
06/03/2018,Ghost,8,3583,O,3798,135,
06/03/2018,Ghost,8,3583,A,1597,14,
06/03/2018,Ghost,8,3583,B,198,125,
06/03/2018,Ghost,8,3643,O,108,27,
06/03/2018,Ghost,8,3643,A,436,48,
06/03/2018,Ghost,8,3643,B,640,16,
06/03/2018,Ghost,8,9474,O,577,94,
06/03/2018,Ghost,8,9474,A,82,69,
06/03/2018,Ghost,8,9474,B,28,247,
06/03/2018,Ghost,9,7334,O,1253,64,
06/03/2018,Ghost,9,7334,A,744,23,
06/03/2018,Ghost,9,7334,B,3436,607,
06/03/2018,Ghost,9,7370,O,630,178,
06/03/2018,Ghost,9,7370,A,5444,27,
06/03/2018,Ghost,9,7370,B,1437,65,
06/03/2018,Ghost,9,7480,O,1200,0,
06/03/2018,Ghost,9,7480,A,1196,194,
06/03/2018,Ghost,9,7480,B,2956,0,
09/07/2018,Treatment,1,3446,O,172,10,
09/07/2018,Treatment,1,3446,A,333,187,
09/07/2018,Treatment,1,3446,B,201,333,
09/07/2018,Treatment,1,8433,O,145,26,
09/07/2018,Treatment,1,8433,A,138,13,
09/07/2018,Treatment,1,8433,B,111,6677,
09/07/2018,Treatment,1,8445,O,195,60,
09/07/2018,Treatment,1,8445,A,419,184,
09/07/2018,Treatment,1,8445,B,2272,89,
09/07/2018,Control,2,8749,O,410,297,
09/07/2018,Control,2,8749,A,220,29,
09/07/2018,Control,2,8749,B,386,126,
09/07/2018,Control,2,8668,O,175,289,
09/07/2018,Control,2,8668,A,1415,122,
09/07/2018,Control,2,8668,B,118,-44,
09/07/2018,Control,2,8689,O,298,350,
09/07/2018,Control,2,8689,A,275,181,
09/07/2018,Control,2,8689,B,483,7106,
09/07/2018,Control,3,8357,O,136,105,
09/07/2018,Control,3,8357,A,163,246,
09/07/2018,Control,3,8357,B,1722,134,
09/07/2018,Control,3,8301,O,962,1,
09/07/2018,Control,3,8301,A,374,388,
09/07/2018,Control,3,8301,B,1964,543,
09/07/2018,Control,3,8355,O,496,0,
09/07/2018,Control,3,8355,A,1127,45,
09/07/2018,Control,3,8355,B,3249,102,
09/07/2018,Treatment,4,6580,O,504,545,
09/07/2018,Treatment,4,6580,A,410,80,
09/07/2018,Treatment,4,6580,B,40527,546,
09/07/2018,Treatment,4,6520,O,350,99,
09/07/2018,Treatment,4,6520,A,171,212,
09/07/2018,Treatment,4,6520,B,22,242,
09/07/2018,Treatment,4,6621,O,647,2001,
09/07/2018,Treatment,4,6621,A,0,0,
09/07/2018,Treatment,4,6621,B,691,803,
09/07/2018,Control,5,6387,O,403,25,
09/07/2018,Control,5,6387,A,51,60,
09/07/2018,Control,5,6387,B,52,0,
09/07/2018,Control,5,6375,O,784,69,
09/07/2018,Control,5,6375,A,1504,14,
