image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
R6_5850_B_L_0001, test, 9655c896-51b4-4926-a7c4-35006a295a89,0.97272795,0.97272795,0.058216326,3.06E-04,267.5126644,0.01904925,0, Primary root,-1,-1,-0.008466667,-57.29577951,0,0, null, null, null, null
R6_5850_B_L_0001, R6_B_L_1B, c3ddae0a-8c27-4d31-8eb0-07e2e05c1fc4,0.14896436,0.14560892,0.008940221,4.44E-05,350.2892842,0.018461322,2, Lateral root, R6_B_L_1A, 814b0695-6cce-4d7a-b0aa-0e2fb0a11706,0.2646298,67.69449664,0,0, null, null, null, null
R6_5850_B_L_0001, R6_B_L_1A, 814b0695-6cce-4d7a-b0aa-0e2fb0a11706,0.32597977,0.3244542,0.015730357,6.08E-05,54.0114933,0.015669564,1, Lateral root, R6_B_L_1, 23e2eb1d-9f08-43e4-ba6d-1dfcca5df332,0.2867314,173.5062573,1,0, c3ddae0a-8c27-4d31-8eb0-07e2e05c1fc4,0.2646298, c3ddae0a-8c27-4d31-8eb0-07e2e05c1fc4,0.2646298
R6_5850_B_L_0001, R6_B_L_1, 23e2eb1d-9f08-43e4-ba6d-1dfcca5df332,0.56188184,0.55867445,0.048646666,3.42E-04,246.108682,0.026857657,0, Primary root,-1,-1,-0.008466667,-57.29577951,1,0, 814b0695-6cce-4d7a-b0aa-0e2fb0a11706,0.2867314, 814b0695-6cce-4d7a-b0aa-0e2fb0a11706,0.2867314
