image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
R3_8301_O_L_0001, R3_O_L_38MO, e7782ae0-5ddf-477f-b2b8-4c5d2d665594,0.16444202,0.16444202,0.01379698,9.42E-05,46.62759094,0.026681319,2, Lateral root, R3_O_L_38IK, 7675bf6c-9cc1-41f2-8749-d2713c4b5e26,0.15394002,90.87528442,0,0, null, null, null, null
R3_8301_O_L_0001, R3_O_L_38IK, 7675bf6c-9cc1-41f2-8749-d2713c4b5e26,0.5908893,0.57449794,0.08702803,0.001067835,331.7407853,0.046253253,1, Lateral root, R3_O_L_38, db7b41c6-9cec-495f-bce8-20b270f982ab,0.2867774,95.67237216,1,0, e7782ae0-5ddf-477f-b2b8-4c5d2d665594,0.15394002, e7782ae0-5ddf-477f-b2b8-4c5d2d665594,0.15394002
R3_8301_O_L_0001, R3_O_L_38E, 81e55e3d-df18-4594-baea-3a152f570dd6,0.2682558,0.26559362,0.015286073,7.01E-05,121.8098532,0.01784154,1, Lateral root, R3_O_L_38, db7b41c6-9cec-495f-bce8-20b270f982ab,0.39383188,108.5728373,0,0, null, null, null, null
R3_8301_O_L_0001, R3_O_L_38A, 8d2a256e-a080-4b44-a6e5-88889d00227e,0.19299416,0.18729146,0.012279027,6.67E-05,300.6429067,0.02251168,1, Lateral root, R3_O_L_38, db7b41c6-9cec-495f-bce8-20b270f982ab,0.961665,80.80209411,0,0, null, null, null, null
R3_8301_O_L_0001, R3_O_L_38, db7b41c6-9cec-495f-bce8-20b270f982ab,1.5212746,1.2214061,0.15529318,0.001342005,256.0069648,0.031629466,0, Primary root,-1,-1,-0.008466667,-57.29577951,3,4.4451847, 7675bf6c-9cc1-41f2-8749-d2713c4b5e26,0.2867774, 8d2a256e-a080-4b44-a6e5-88889d00227e,0.961665
R3_8301_O_L_0001, R3_O_L_37, dcc69137-dd06-4a20-b2a3-9150216d2b87,1.1289326,1.0800906,0.10520105,8.22E-04,110.5035952,0.027768062,0, Primary root,-1,-1,-0.008466667,-57.29577951,0,0, null, null, null, null
R3_8301_O_L_0001, R3_O_L_36HH, fbf296dc-f912-4f50-8fd6-18d2b2c96cfe,0.26961902,0.26961902,0.010162145,3.14E-05,14.38632841,0.011996313,1, Lateral root, R3_O_L_36, 4cfddd12-a053-463c-8e34-63f4172a36e9,1.4949399,175.7317515,0,0, null, null, null, null
R3_8301_O_L_0001, R3_O_L_36T, 67a03ffe-ddff-424c-b149-114a1840d79f,0.14038864,0.14038864,0.007360001,3.07E-05,275.3480388,0.016687658,1, Lateral root, R3_O_L_36, 4cfddd12-a053-463c-8e34-63f4172a36e9,0.39643145,28.2120144,0,0, null, null, null, null
R3_8301_O_L_0001, R3_O_L_36Q, 741ec8ef-89bb-4bf7-8cb2-7c3cf7fb3ce0,0.10617672,0.10617672,0.005652984,2.44E-05,212.9441657,0.016933769,1, Lateral root, R3_O_L_36, 4cfddd12-a053-463c-8e34-63f4172a36e9,0.23562433,112.3700127,0,0, null, null, null, null
R3_8301_O_L_0001, R3_O_L_36, 4cfddd12-a053-463c-8e34-63f4172a36e9,2.7768035,1.8535849,0.2520003,0.001873748,236.95448,0.029015249,0, Primary root,-1,-1,-0.008466667,-57.29577951,3,2.3822465, 741ec8ef-89bb-4bf7-8cb2-7c3cf7fb3ce0,0.23562433, fbf296dc-f912-4f50-8fd6-18d2b2c96cfe,1.4949399
R3_8301_O_L_0001, R3_O_L_36, e10f8b1f-e222-41af-a7a1-56549976c428,0.47571385,0.44117874,0.03836558,2.56E-04,97.06672796,0.025896695,0, Primary root,-1,-1,-0.008466667,-57.29577951,0,0, null, null, null, null
R3_8301_O_L_0001, R3_O_L_35TY, ff50ba06-21f7-4ba7-89c3-672b817de54d,0.38803145,0.38126087,0.02723098,1.60E-04,288.5099499,0.020806756,1, Lateral root, R3_O_L_35, e0e8354e-8333-4f83-b7ff-e0096d11b614,0.34604517,97.50507584,0,0, null, null, null, null
R3_8301_O_L_0001, R3_O_L_35E, 0415bb2c-1c9e-4deb-87f1-c871817a4822,0.2977854,0.2717699,0.032901045,3.06E-04,184.1922795,0.030667897,1, Lateral root, R3_O_L_35, e0e8354e-8333-4f83-b7ff-e0096d11b614,0.2853639,154.8415769,0,0, null, null, null, null
R3_8301_O_L_0001, R3_O_L_35Q, 23753cc7-f5d6-4179-9735-b6fb963ef3e3,0.74377286,0.7361142,0.04659334,2.45E-04,323.8013461,0.0202551,1, Lateral root, R3_O_L_35, e0e8354e-8333-4f83-b7ff-e0096d11b614,0.68317205,87.70618592,0,0, null, null, null, null
R3_8301_O_L_0001, R3_O_L_35, e0e8354e-8333-4f83-b7ff-e0096d11b614,1.0434449,0.9681301,0.1461513,0.001924894,44.05761273,0.044473477,0, Primary root,-1,-1,-0.008466667,-57.29577951,3,7.541324, 0415bb2c-1c9e-4deb-87f1-c871817a4822,0.2853639, 23753cc7-f5d6-4179-9735-b6fb963ef3e3,0.68317205
R3_8301_O_L_0001, R3_O_L_34PLO, 25ac66ac-a516-43ea-8b4d-b8ca919c9d5d,0.42227903,0.4142671,0.053610202,5.73E-04,275.1504551,0.039240673,1, Lateral root, R3_O_L_34, b382adb8-d1e3-47dc-8bf6-f1015c61c720,1.5270706,60.47228193,0,0, null, null, null, null
R3_8301_O_L_0001, R3_O_L_34C, b0a1ab62-de4b-49b4-ba28-7031a681806d,0.13307464,0.13307464,0.00973592,5.68E-05,350.8887562,0.023285031,2, Lateral root, R3_O_L_34U, b225d9a9-4b9a-4913-a452-256f6e0d650a,0.38803902,73.93073256,0,0, null, null, null, null
R3_8301_O_L_0001, R3_O_L_34S, cd8bdb19-8b4c-470e-9565-6f40a1bb71d0,0.46810228,0.4580835,0.027110694,1.26E-04,292.8977727,0.017861094,2, Lateral root, R3_O_L_34Q, 0c801326-153c-4c73-96be-97fed95ee7eb,0,108.1972042,0,0, null, null, null, null
R3_8301_O_L_0001, R3_O_L_34P, 6c797dba-816c-4b08-901f-2906565e546e,0.3117824,0.30866164,0.030938623,2.53E-04,72.27964361,0.036673896,1, Lateral root, R3_O_L_34, b382adb8-d1e3-47dc-8bf6-f1015c61c720,2.5222416,93.17331522,0,0, null, null, null, null
R3_8301_O_L_0001, R3_O_L_34I, da9a8852-24eb-47d3-add8-4da0023c15b0,0.3458505,0.336658,0.069126025,0.001115526,22.1710331,0.054762065,1, Lateral root, R3_O_L_34, b382adb8-d1e3-47dc-8bf6-f1015c61c720,1.886422,69.87482962,0,0, null, null, null, null
R3_8301_O_L_0001, R3_O_L_34U, b225d9a9-4b9a-4913-a452-256f6e0d650a,0.76577973,0.64934546,0.06274629,4.56E-04,278.6458727,0.028231552,1, Lateral root, R3_O_L_34, b382adb8-d1e3-47dc-8bf6-f1015c61c720,2.1661143,35.11845581,1,0, b0a1ab62-de4b-49b4-ba28-7031a681806d,0.38803902, b0a1ab62-de4b-49b4-ba28-7031a681806d,0.38803902
