image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
R2_8668_O_Lp2of2_0001, R2_O_L_47B, afb92532-c052-46dc-b54f-11f807486c5b,0.1968228,0.19650422,0.008789524,3.22E-05,194.0840327,0.015510072,1, Lateral root, R2_O_L_47, 627c9411-1cb8-460e-a1fb-278645db0318,0.17268679,108.4078678,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64FLO, be0097c0-0f22-4673-98f7-facbe7082388,0.25046626,0.25046626,0.019974325,1.28E-04,315.1238913,0.025381163,2, Lateral root, R2_O_L_64FF, 060104a1-8725-4f49-892c-ae7e59fb0128,0.7948048,153.3136226,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64CC, d3455fd4-011d-491e-b129-a993da5b7c64,0.14244214,0.14244214,0.006605398,2.45E-05,144.7575539,0.014759135,2, Lateral root, R2_O_L_64FF, 060104a1-8725-4f49-892c-ae7e59fb0128,0.8689166,17.05271473,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64AA, 87138abb-cd29-4a27-937f-91154b08b961,0.101399496,0.101399496,0.006763951,3.76E-05,218.6696537,0.021159416,2, Lateral root, R2_O_L_64FF, 060104a1-8725-4f49-892c-ae7e59fb0128,0.82349133,56.85938507,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64DS, 450740bf-8c20-436f-b54d-5f67d6d21355,0.044391517,0.044391517,0.002632246,1.24E-05,27.55302239,0.01884887,3, Lateral root, R2_O_L_64DCV, da2ccb63-7d76-4698-b49b-27ced2858712,0.13652089,96.57663456,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64DCV, da2ccb63-7d76-4698-b49b-27ced2858712,0.28930366,0.28543785,0.014983984,7.11E-05,114.6924273,0.016933648,2, Lateral root, R2_O_L_64FF, 060104a1-8725-4f49-892c-ae7e59fb0128,1.7524214,67.0244824,1,0, 450740bf-8c20-436f-b54d-5f67d6d21355,0.13652089, 450740bf-8c20-436f-b54d-5f67d6d21355,0.13652089
R2_8668_O_Lp2of2_0001, R2_O_L_64KL, 68cc8bf8-af34-4b3e-a7b3-add1833cfa47,0.082796626,0.082796626,0.006063971,3.60E-05,49.99077267,0.0232437,2, Lateral root, R2_O_L_64KK, 83d1f28e-4f77-449d-8a40-dd7e498f8e07,1.1830282,130.7119939,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64KK, 83d1f28e-4f77-449d-8a40-dd7e498f8e07,1.9570155,1.768829,0.13017946,7.51E-04,140.7523037,0.023407241,1, Lateral root, R2_O_L_64, 7d5927b9-470c-45ce-89b1-72ef86df48b8,2.1359406,46.56052531,1,0, 68cc8bf8-af34-4b3e-a7b3-add1833cfa47,1.1830282, 68cc8bf8-af34-4b3e-a7b3-add1833cfa47,1.1830282
R2_8668_O_Lp2of2_0001, R2_O_L_64FF, 060104a1-8725-4f49-892c-ae7e59fb0128,1.9511144,1.7831304,0.37333956,0.006763528,160.9528341,0.07116638,1, Lateral root, R2_O_L_64, 7d5927b9-470c-45ce-89b1-72ef86df48b8,2.3702404,65.97897168,4,4.177037, be0097c0-0f22-4673-98f7-facbe7082388,0.7948048, da2ccb63-7d76-4698-b49b-27ced2858712,1.7524214
R2_8668_O_Lp2of2_0001, R2_O_L_64HJ, e5cd66ac-55f8-44b7-bb40-3becce9655d8,0.22081617,0.22081617,0.026704771,2.58E-04,152.2747782,0.038489528,1, Lateral root, R2_O_L_64, 7d5927b9-470c-45ce-89b1-72ef86df48b8,2.0365555,64.50809045,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64DK, 57512b97-754a-4bbc-b22a-5cece7f1ed7f,0.2836104,0.24253298,0.049136225,8.09E-04,158.1581802,0.05703542,1, Lateral root, R2_O_L_64, 7d5927b9-470c-45ce-89b1-72ef86df48b8,1.3898131,61.35550052,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64CO, 532a939b-e065-444a-b4ff-f22f94fa2000,0.13859715,0.07927404,0.013601056,1.07E-04,147.9511045,0.029350074,2, Lateral root, R2_O_L_64FG, 9a052d27-5ca2-482a-871d-b831270d5c41,1.4698637,69.94206601,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64FL, dfdb077b-5de6-4961-b5b9-2c7ee0320603,0.16940905,0.15734555,0.014064195,9.94E-05,100.2450745,0.02999847,2, Lateral root, R2_O_L_64FG, 9a052d27-5ca2-482a-871d-b831270d5c41,0.6567152,52.26433432,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64RT, 0f4f2d3d-4eb9-42ca-989a-29f2870004ed,0.13077308,0.13077308,0.006729928,2.76E-05,130.1435856,0.016380923,2, Lateral root, R2_O_L_64FG, 9a052d27-5ca2-482a-871d-b831270d5c41,0.41831005,4.926888656,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64PL, af84179c-30f0-423f-af4c-415fb4bf94c9,0.07043742,0.07043742,0.002343519,6.28E-06,149.4452767,0.010585688,3, Lateral root, R2_O_L_64FC, f1164f72-0272-49ca-8cd3-f97b4e498ba4,0,44.03330067,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64VK, 4b7fbd91-fec7-4639-b37b-e1c49727b2f8,0.1762089,0.15483439,0.012099407,6.79E-05,250.9076002,0.020897763,3, Lateral root, R2_O_L_64FC, f1164f72-0272-49ca-8cd3-f97b4e498ba4,0.15120637,31.84612584,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64BN, afca1b62-a6f1-4a4b-86c3-90603ed0fd51,0.08892184,0.08892184,0.018820949,1.56E-04,7.32586539,0.026810799,3, Lateral root, R2_O_L_64FC, f1164f72-0272-49ca-8cd3-f97b4e498ba4,0.16383676,134.0305233,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64FC, f1164f72-0272-49ca-8cd3-f97b4e498ba4,0.45571992,0.44663885,0.04247974,3.23E-04,233.1040291,0.029627034,2, Lateral root, R2_O_L_64FG, 9a052d27-5ca2-482a-871d-b831270d5c41,0.34806737,98.03355489,3,18.31091, af84179c-30f0-423f-af4c-415fb4bf94c9,0, afca1b62-a6f1-4a4b-86c3-90603ed0fd51,0.16383676
R2_8668_O_Lp2of2_0001, R2_O_L_64FG, 9a052d27-5ca2-482a-871d-b831270d5c41,1.7309005,1.4934552,0.15241131,0.001276198,122.0408092,0.031130495,1, Lateral root, R2_O_L_64, 7d5927b9-470c-45ce-89b1-72ef86df48b8,0.70541614,25.54921735,4,3.5657098, f1164f72-0272-49ca-8cd3-f97b4e498ba4,0.34806737, 532a939b-e065-444a-b4ff-f22f94fa2000,1.4698637
R2_8668_O_Lp2of2_0001, R2_O_L_64CV, a255f54c-cf53-43ee-b597-57e6e6b7bfa4,0.11393818,0.11393818,0.006064246,2.62E-05,153.5428028,0.016930036,2, Lateral root, R2_O_L_64XZ, 69d7f612-79cd-4933-b361-d74c564c78f6,0,137.2052635,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64XZ, 69d7f612-79cd-4933-b361-d74c564c78f6,0.4666609,0.4513821,0.03924886,2.75E-04,34.40448589,0.027449442,1, Lateral root, R2_O_L_64, 7d5927b9-470c-45ce-89b1-72ef86df48b8,0.7203607,61.18837262,1,0, a255f54c-cf53-43ee-b597-57e6e6b7bfa4,0, a255f54c-cf53-43ee-b597-57e6e6b7bfa4,0
R2_8668_O_Lp2of2_0001, R2_O_L_64X, 298f2940-dc56-43ef-881f-382d5e7c80b0,0.56022173,0.5597748,0.05914177,6.25E-04,15.30536622,0.0379061,1, Lateral root, R2_O_L_64, 7d5927b9-470c-45ce-89b1-72ef86df48b8,0.67015,80.287494,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64Z, 6d72ec7f-724f-4572-85eb-be0ca0dc6b15,0.3635298,0.35176647,0.053157855,6.94E-04,227.2923304,0.05346029,1, Lateral root, R2_O_L_64, 7d5927b9-470c-45ce-89b1-72ef86df48b8,0,139.1349969,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64DF, 3933abee-feb5-4657-99c0-ad65572fb0c2,0.2210611,0.21362044,0.013965105,7.10E-05,103.4731107,0.019049209,2, Lateral root, R2_O_L_64D, 56e7411d-c26b-4d9e-8506-240d6b2a62e3,2.0898452,75.4354847,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64D, 56e7411d-c26b-4d9e-8506-240d6b2a62e3,2.398626,2.0491314,0.31762213,0.003794743,53.51959332,0.046710834,1, Lateral root, R2_O_L_64, 7d5927b9-470c-45ce-89b1-72ef86df48b8,1.7641884,32.20205041,1,0, 3933abee-feb5-4657-99c0-ad65572fb0c2,2.0898452, 3933abee-feb5-4657-99c0-ad65572fb0c2,2.0898452
R2_8668_O_Lp2of2_0001, R2_O_L_64M, 72aa4134-ad42-4d91-b4e3-eb06ff76a497,0.24832036,0.24832036,0.023128498,1.76E-04,112.9356753,0.029630123,2, Lateral root, R2_O_L_64O, b4a7d400-f26c-4676-91f4-cccf65962360,0,59.51410201,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64K, 49ac5a71-fad2-4887-acf0-90d60149c12d,0.16030575,0.15359175,0.010195517,5.39E-05,153.2637623,0.022416018,2, Lateral root, R2_O_L_64O, b4a7d400-f26c-4676-91f4-cccf65962360,0.2677819,84.63806495,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64J, 5ee85ab3-23f2-4fb0-bb61-8c0f4f1ab7aa,0.10173642,0.10173642,0.00748009,4.63E-05,130.8957123,0.023277638,2, Lateral root, R2_O_L_64O, b4a7d400-f26c-4676-91f4-cccf65962360,0.7895889,108.2726232,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64O, b4a7d400-f26c-4676-91f4-cccf65962360,1.1509117,1.0790176,0.09489102,6.51E-04,53.62408155,0.02406948,1, Lateral root, R2_O_L_64, 7d5927b9-470c-45ce-89b1-72ef86df48b8,1.8185245,23.80893979,3,3.7994454, 72aa4134-ad42-4d91-b4e3-eb06ff76a497,0, 5ee85ab3-23f2-4fb0-bb61-8c0f4f1ab7aa,0.7895889
R2_8668_O_Lp2of2_0001, R2_O_L_64P, d5ad55f3-9d8d-4c7c-bc0e-fd8955c85ec7,0.14920163,0.14920163,0.010921937,6.51E-05,5.034271609,0.02328001,3, Lateral root, R2_O_L_64I, 7c8d69d4-7b9b-494e-be84-b1e0f3a2037e,0.27229443,19.64523939,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64I, 7c8d69d4-7b9b-494e-be84-b1e0f3a2037e,0.40610307,0.40075228,0.043357,3.75E-04,28.19610006,0.034548756,2, Lateral root, R2_O_L_64U, 6381d62c-e008-4dd5-b4cc-1fad3e9b6ae0,0.5230788,21.97860618,1,0, d5ad55f3-9d8d-4c7c-bc0e-fd8955c85ec7,0.27229443, d5ad55f3-9d8d-4c7c-bc0e-fd8955c85ec7,0.27229443
R2_8668_O_Lp2of2_0001, R2_O_L_64U, 6381d62c-e008-4dd5-b4cc-1fad3e9b6ae0,1.2127289,1.1935226,0.11215322,9.03E-04,51.6161562,0.029624214,1, Lateral root, R2_O_L_64, 7d5927b9-470c-45ce-89b1-72ef86df48b8,2.140778,30.59070633,1,0, 7c8d69d4-7b9b-494e-be84-b1e0f3a2037e,0.5230788, 7c8d69d4-7b9b-494e-be84-b1e0f3a2037e,0.5230788
R2_8668_O_Lp2of2_0001, R2_O_L_64U, 63649113-c4a3-4f26-bfd8-81cf9f77ca2f,0.12534428,0.12534428,0.005800041,2.15E-05,84.78516673,0.014727193,2, Lateral root, R2_O_L_64Y, d8ebe524-2683-4fc0-8fba-015e894c730a,0.26382765,53.36105438,0,0, null, null, null, null
R2_8668_O_Lp2of2_0001, R2_O_L_64Y, d8ebe524-2683-4fc0-8fba-015e894c730a,0.32242134,0.214291,0.03127368,2.54E-04,79.53667179,0.029395312,1, Lateral root, R2_O_L_64, 7d5927b9-470c-45ce-89b1-72ef86df48b8,2.5134556,8.23001595,1,0, 63649113-c4a3-4f26-bfd8-81cf9f77ca2f,0.26382765, 63649113-c4a3-4f26-bfd8-81cf9f77ca2f,0.26382765
R2_8668_O_Lp2of2_0001, R2_O_L_64T, d52d66bc-9d1f-43fd-86d7-e11a8206ab8a,0.5373146,0.53092325,0.043277137,3.13E-04,29.95047513,0.02817379,1, Lateral root, R2_O_L_64, 7d5927b9-470c-45ce-89b1-72ef86df48b8,3.4861548,59.42283702,0,0, null, null, null, null
