Array Type,Array,z,Root number,Previous sampling date,Current sampling date,Days since 11/04/2017,Days between sampling,Root previous length (cm),Root current length (cm),Root previous width (cm),Root current width (cm),Root previous volume (cm3),Root current volume (cm3),Change in volume (cm3),Est change in Biomass (mg),Increase in volume (cm)
Control,5,13,1,42905,43026,190,121,0.213953974,0.077483399,0.008812265,0.027432202,1.3E-05,4.58E-05,3.27E-05,0.00981,3.27E-05
Control,5,13,1,43026,43130,294,104,0.077483399,0.053436091,0.027432202,0.025893351,4.58E-05,2.81E-05,-1.77E-05,-0.00531,0
Control,5,13,2,42836,42905,69,69,0.054037996,0.238799507,0.01503692,0.016614119,9.6E-06,5.18E-05,4.22E-05,0.01266,4.22E-05
Control,5,13,2,42905,43026,190,121,0.238799507,0.129462747,0.016614119,0.02751395,5.18E-05,7.7E-05,2.52E-05,0.00756,2.52E-05
Control,5,13,2,43026,43130,294,104,0.129462747,0.136513994,0.027524855,0.025080679,7.7E-05,6.74E-05,-9.59E-06,-0.002877,0
Treatment,6,1,1,42905,42933,97,28,0,0.397139057,0,0.043576806,0,0.000592302,0.000592302,0.1776906,0.000592302
Treatment,6,1,1,42933,42983,147,50,0.397139057,0,0.397139057,0,0.049194628,0,-0.049194628,-14.7583884,0
Treatment,6,2,1,42836,42863,27,27,0,0.265641474,0,0.017971963,0,6.74E-05,6.74E-05,0.02022,6.74E-05
Treatment,6,2,1,42863,42905,69,42,0.265641474,0,0.017971963,0,6.74E-05,0,-6.74E-05,-0.02022,0
Treatment,6,2,2,42905,42933,97,28,0,0.413854689,0,0.014636684,0,6.96E-05,6.96E-05,0.02088,6.96E-05
Treatment,6,2,2,42933,42983,147,50,0.413854689,0,0.014636684,0,6.96E-05,0,-6.96E-05,-0.02088,0
Treatment,6,2,3,43052,43129,293,77,0,0.198150953,0,0.021295882,0,7.06E-05,7.06E-05,0.02118,7.06E-05
Treatment,6,2,3,43129,43172,336,43,0.198150953,0,0.021295882,0,7.06E-05,0,-7.06E-05,-0.02118,0
Treatment,6,4,1,42983,43026,190,43,0,0.329438104,0,0.006201011,0,9.95E-06,9.95E-06,0.002985,9.95E-06
Treatment,6,4,1,43026,43052,216,26,0.329438104,0,0.006201011,0,9.95E-06,0,-9.95E-06,-0.002985,0
Treatment,6,4,2,42983,43026,190,43,0,0.164582853,0,0.010299026,0,1.37E-05,1.37E-05,0.00411,1.37E-05
Treatment,6,4,2,43026,43052,216,26,0.164582853,0,0.010299026,0,1.37E-05,0,-1.37E-05,-0.00411,0
Treatment,6,5,1,42905,42933,97,28,0,0.179334425,0,0.025409004,0,9.09E-05,9.09E-05,0.02727,9.09E-05
Treatment,6,5,1,42933,42983,147,50,0.179334425,0,0.025409004,0,9.09E-05,0,-9.09E-05,-0.02727,0
Treatment,1,1,1,43213,43245,409,32,0,1.274434916,0,0.028419382,0,0.00080842,0.00080842,0.242526,0.00080842
Treatment,1,1,1,43245,43273,437,28,1.274434916,1.274434916,0.028419382,0.028419382,0.00080842,0.00080842,0,0,0
Treatment,1,1,1,43273,43299,463,26,1.274434916,1.616325649,0.028419382,0.036821863,0.00080842,0.001721196,0.000912776,0.2738328,0.000912776
Treatment,1,1,1,43299,43397,561,98,1.616325649,1.768267512,0.036821863,0.028802859,0.001721196,0.00115215,-0.000569046,-0.1707138,0
Treatment,1,3,1,43213,43245,409,32,0,0.366511505,0,0.034193837,0,0.000336568,0.000336568,0.1009704,0.000336568
Treatment,1,3,1,43245,43340,504,95,0.366511505,0.311966456,0.034193837,0.044640048,0.000336568,0.000488255,0.000151687,0.0455061,0.000151687
Treatment,1,3,1,43340,43397,561,57,0.311966456,0.419022666,0.044640048,0.034339914,0.000488255,0.000388084,-0.000100171,-0.0300513,0
Treatment,1,3,1,43397,43481,645,84,0.419022666,0.224583424,0.034339914,0.029858819,0.000388084,0.000157258,-0.000230826,-0.0692478,0
Treatment,1,3,1,43481,43542,706,61,0.224583424,0.205784245,0.029858819,0.050910458,0.000157258,0.000418905,0.000261647,0.0784941,0.000261647
Treatment,1,3,2,43481,43542,706,61,0,0.611358051,0,0.021275953,0,0.000217352,0.000217352,0.0652056,0.000217352
Treatment,1,4,1,43273,43299,463,26,0,1.797595726,0,0.028258297,0,0.001127389,0.001127389,0.3382167,0.001127389
Treatment,1,4,1,43299,43340,504,41,1.797595726,1.778029403,0.028258297,0.034597537,0.001127389,0.001671549,0.00054416,0.163248,0.00054416
Treatment,1,4,1,43340,43397,561,57,1.778029403,1.533559412,0.034597537,0.027613349,0.001671549,0.000918393,-0.000753156,-0.2259468,0
Treatment,1,4,1,43397,43481,645,84,1.533559412,0.623190574,0.027613349,0.017657468,0.000918393,0.000152605,-0.000765789,-0.2297367,0
Treatment,1,6,1,43273,43299,463,26,0,2.052825087,0,0.026004687,0,0.001090298,0.001090298,0.3270894,0.001090298
Treatment,1,6,1,43299,43340,504,41,2.052825087,1.018431734,0.026004687,0.042449027,0.001090298,0.00144131,0.000351012,0.1053036,0.000351012
Treatment,1,6,1,43340,43397,561,57,1.018431734,1.18884318,0.042449027,0.037669628,0.00144131,0.001324943,-0.000116367,-0.0349101,0
Treatment,1,6,1,43397,43542,706,145,1.18884318,1.218914521,0.037669628,0.037669628,0.001324943,0.001358457,3.35E-05,0.01005,3.35E-05
Treatment,1,9,1,43213,43245,409,32,0,0.638022243,0,0.038186078,0,0.000730694,0.000730694,0.2192082,0.000730694
Treatment,1,9,1,43245,43299,463,54,0.638022243,1.334127593,0.038186078,0.026341844,0.000730694,0.000727076,-3.62E-06,-0.001086,0
Treatment,1,9,1,43299,43340,504,41,1.334127593,1.415427393,0.026341844,0.063218397,0.000727076,0.004442879,0.003715803,1.1147409,0.003715803
Treatment,1,9,1,43340,43397,561,57,1.415427393,0.591522838,0.063218397,0.037227318,0.004442879,0.00064385,-0.003799028,-1.1397084,0
Treatment,1,9,1,43397,43481,645,84,0.591522838,0,0.037227318,0,0.00064385,0,-0.00064385,-0.193155,0
Treatment,1,9,2,43213,43245,409,32,0,0.555246708,0,0.043790348,0,0.000836243,0.000836243,0.2508729,0.000836243
Treatment,1,9,2,43245,43299,463,54,0.555246708,0.598168836,0.043790348,0.0275451,0.000836243,0.000356453,-0.00047979,-0.143937,0
Treatment,1,9,2,43299,43340,504,41,0.598168836,0.649823498,0.0275451,0.037613773,0.000356453,0.00072207,0.000365617,0.1096851,0.000365617
Treatment,1,9,2,43340,43397,561,57,0.649823498,0.919991796,0.037613773,0.044050317,0.00072207,0.001402077,0.000680007,0.2040021,0.000680007
Treatment,1,9,2,43397,43481,645,84,0.919991796,0,0.044050317,0,0.001402077,0,-0.001402077,-0.4206231,0
Treatment,1,10,1,43273,43299,463,26,0,0.518800718,0,0.048077926,0,0.00094185,0.00094185,0.282555,0.00094185
Treatment,1,10,1,43299,43340,504,41,0.518800718,1.347807865,0.048077926,0.044271365,0.00094185,0.00207474,0.00113289,0.339867,0.00113289
Treatment,1,10,1,43340,43542,706,202,1.347807865,1.231122629,0.044271365,0.063686713,0.00207474,0.003921831,0.001847091,0.5541273,0.001847091
Control,2,1,1,43215,43243,407,28,0,0.007756942,0,0.020916875,0,2.67E-06,2.67E-06,0.000801,2.67E-06
Control,2,1,1,43243,43299,463,56,0.007756942,0.516409446,0.020916875,0.016997049,2.67E-06,0.000117174,0.000114508,0.0343524,0.000114508
Control,2,1,1,43299,43340,504,41,0.516409446,0.29620708,0.016997049,0.024044716,0.000117174,0.000134501,1.73E-05,0.00519,1.73E-05
Control,2,1,1,43340,43542,706,202,0.29620708,0.71447172,0.024044716,0.033527597,0.000134501,0.000630783,0.000496282,0.1488846,0.000496282
Control,2,3,1,43299,43481,645,182,1.262696917,1.491326992,0.036194499,0.069051761,0.001299194,0.00558486,0.004285665,1.2856995,0.004285665
Control,2,5,1,43273,43299,463,26,0,0.77644989,0,0.040064072,0,0.000978844,0.000978844,0.2936532,0.000978844
Control,2,5,1,43299,43397,561,98,0.77644989,1.216362274,0.040064072,0.040064072,0.000978844,0.001533427,0.000554583,0.1663749,0.000554583
Control,2,5,1,43397,43425,589,28,0.77644989,0,0.040064072,0,0.000978844,0,-0.000978844,-0.2936532,0
Control,2,13,1,43243,43273,437,30,0,1.537434981,0,0.022628357,0,0.000618291,0.000618291,0.1854873,0.000618291
Control,2,13,1,43273,43299,463,26,1.537434981,1.480875106,0.022628357,0.02371499,0.000618291,0.000654115,3.58E-05,0.01074,3.58E-05
Control,2,13,1,43299,43397,561,98,1.480875106,1.521281658,0.02371499,0.024972191,0.000654115,0.000745097,9.1E-05,0.0273,9.1E-05
Control,2,13,1,43397,43481,645,84,1.521281658,1.558596694,0.024972191,0.024972191,0.000745097,0.000763373,1.83E-05,0.00549,1.83E-05
Control,2,13,1,43481,43542,706,61,1.558596694,1.823877837,0.024972191,0.04612299,0.000763373,0.003047337,0.002283964,0.6851892,0.002283964
Control,3,1,1,43213,43481,645,268,0.684742738,0.684742738,0.032199122,0.032199122,0.000557578,0.000557578,0,0,0
Control,3,7,1,43213,43542,706,329,1.002389773,1.002389773,0.039908808,0.039908808,0.001253903,0.001253903,0,0,0
Control,3,8,1,43213,43273,437,60,0,0.771416801,0,0.045119612,0,0.001233416,0.001233416,0.3700248,0.001233416
Control,3,8,1,43273,43542,706,269,0.771416801,0.771416801,0.045119612,0.045119612,0.001233416,0.001233416,0,0,0
Control,3,10,1,43245,43273,437,28,0,1.111259896,0,0.0716643,0,0.004482407,0.004482407,1.3447221,0.004482407
Control,3,10,1,43273,43542,706,269,1.111259896,1.111259896,0.0716643,0.0716643,0.004482407,0.004482407,0,0,0
Control,3,12,1,43481,43542,706,61,0,1.333635819,0,0.063309104,0,0.004198165,0.004198165,1.2594495,0.004198165
Treatment,4,1,1,43215,43243,407,28,0.311075062,0.622150124,0.050538239,0.050538239,0.000624015,0.001248031,0.000624015,0.1872045,0.000624015
Treatment,4,1,1,43243,43299,463,56,0.622150124,0.940298015,0.050538239,0.046579484,0.001248031,0.001602303,0.000354273,0.1062819,0.000354273
Treatment,4,1,1,43299,43340,504,41,0.940298015,1.368852023,0.046579484,0.046063755,0.001602303,0.002281209,0.000678906,0.2036718,0.000678906
Treatment,4,1,1,43340,43542,706,202,1.368852023,1.448847761,0.046131324,0.045689846,0.002287906,0.002375484,8.76E-05,0.02628,8.76E-05
Treatment,4,3,1,43215,43542,706,327,0.362718936,0.362718936,0.03411233,0.03411233,0.0003315,0.0003315,0,0,0
Treatment,4,3,2,43215,43542,706,327,0.436643755,0.436643755,0.047187502,0.047187502,0.000763609,0.000763609,0,0,0
Treatment,4,4,1,43215,43243,407,28,0,0.598396154,0,0.026893695,0,0.000339922,0.000339922,0.1019766,0.000339922
Treatment,4,4,1,43243,43542,706,299,0.598396154,0.598396154,0.026893695,0.026893695,0.000339922,0.000339922,0,0,0
Treatment,4,6,1,43215,43243,407,28,0,0.323468879,0,0.030499646,0,0.000236326,0.000236326,0.0708978,0.000236326
Treatment,4,6,1,43243,43273,437,30,0.323468879,0.33352497,0.030514884,0.031593418,0.000236562,0.000261464,2.49E-05,0.00747,2.49E-05
Treatment,4,6,1,43273,43340,504,67,0.33352497,0.554583494,0.031593418,0.025732817,0.000261464,0.000288424,2.7E-05,0.0081,2.7E-05
Treatment,4,6,1,43340,43369,533,29,0.554583494,0,0.025732817,0,0.000288424,0,-0.000288424,-0.0865272,0
Treatment,4,7,1,43215,43542,706,327,1.493598197,1.493598197,0.020121139,0.020121139,0.000474929,0.000474929,0,0,0
Treatment,4,9,1,43215,43542,706,327,0.882806269,0.882806269,0.055131833,0.055131833,0.002107464,0.002107464,0,0,0
Treatment,4,11,1,43215,43542,706,327,1.014215475,1.014215475,0.034106834,0.034106834,0.000926623,0.000926623,0,0,0
Treatment,4,12,1,43215,43542,706,327,0.717559108,0.717559108,0.034072257,0.034072257,0.000654258,0.000654258,0,0,0
Control,5,2,1,43213,43542,706,329,1.581419494,1.581419494,0.037368719,0.037368719,0.001734416,0.001734416,0,0,0
Control,5,2,2,43213,43542,706,329,0.48787986,0.48787986,0.031150509,0.031150509,0.00037182,0.00037182,0,0,0
Control,5,9,1,43213,43243,407,30,0,0.988224818,0,0.03326778,0,0.000859,0.000859,0.2577,0.000859
Control,5,9,1,43243,43542,706,299,0.988224818,0.988224818,0.03326778,0.03326778,0.000859,0.000859,0,0,0
Treatment,6,1,1,43215,43542,706,327,0.95800162,0.95800162,0.032977857,0.032977857,0.000818278,0.000818278,0,0,0
Treatment,6,6,1,43243,43273,437,30,0,0.326612954,0,0.04209136,0,0.000454474,0.000454474,0.1363422,0.000454474
Treatment,6,6,1,43340,43369,533,29,0.326612954,0,0.04209136,0,0.000454474,0,-0.000454474,-0.1363422,0
Treatment,6,7,1,43340,43397,561,57,0,1.703008202,0,0.069909568,0,0.006537021,0.006537021,1.9611063,0.006537021
Treatment,6,7,1,43397,43425,589,28,1.703008202,0,0.069909568,0,0.006537021,0,-0.006537021,-1.9611063,0
Treatment,6,9,1,43215,43542,706,327,0.802897033,0.802897033,0.065764918,0.065764918,0.002727334,0.002727334,0,0,0
Treatment,6,10,1,43215,43542,706,327,0.327373564,0.327373564,0.0365944,0.0365944,0.00034432,0.00034432,0,0,0
Treatment,6,11,1,43215,43542,706,327,0.239682763,0.239682763,0.052767472,0.052767472,0.000524154,0.000524154,0,0,0
Treatment,1,1,3,43031,43054,218,23,0.565875156063282,0.632141705886283,0.032432612126121,0.026421783813967,0.000467492195578,0.000346600029255,-0.000120892166323,-0.0362676498969,0
Treatment,1,1,3,42984,43031,195,47,0,0.565875156063282,0,0.032432612126121,0,0.000467492195578,0.000467492195578,0.1402476586734,0.000467492195578
Treatment,1,1,2,43054,43172,336,118,0.415601543641821,0.266165939280263,0.017029886001375,0.029224021982129,9.46652344700992E-05,0.000178534574168,8.38693396979247E-05,0.025160801909378,8.38693396979247E-05
Treatment,1,1,2,43031,43054,218,23,0.396993297927746,0.415601543641821,0.019845883141791,0.017029886001375,0.000122804396716,9.46652344700992E-05,-2.81391622457962E-05,-0.008441748673739,0
Treatment,1,1,2,42984,43031,195,47,0.372340082853711,0.396993297927746,0.027313654987583,0.019845883141791,0.000218167126258,0.000122804396716,-9.53627295420499E-05,-0.028608818862615,0
Treatment,1,1,2,42930,42984,148,54,0,0.372340082853711,0,0.027313654987583,0,0.000218167126258,0.000218167126258,0.0654501378774,0.000218167126258
Treatment,1,1,1,43054,43172,336,118,1.22469692493556,0.873458773900732,0.029911688760649,0.049979924693395,0.000860598084653,0.001713655376574,0.000853057291921,0.2559171875763,0.000853057291921
Treatment,1,1,1,43034,43054,218,20,0.959794189469601,1.22469692493556,0.038120120838909,0.029911688760649,0.001095409580838,0.000860598084653,-0.000234811496184,-0.0704434488552,0
Treatment,1,1,1,42984,43034,198,50,0.974636497812132,0.959794189469601,0.037624544186999,0.038120120838909,0.001083615095727,0.001095409580838,1.17944851112169E-05,0.003538345533365,1.17944851112169E-05
Treatment,1,1,1,42930,42984,148,54,1.05565864882856,0.974636497812132,0.032178426451802,0.037624544186999,0.000858505333264,0.001083615095727,0.000225109762463,0.0675329287389,0.000225109762463
Treatment,1,1,1,42905,42930,94,25,0,1.05565864882856,0,0.032178426451802,0,0.000858505333264,0.000858505333264,0.2575515999792,0.000858505333264
Treatment,1,3,2,43031,43054,218,23,0.858187444911323,0.730969536643301,0.038832968638907,0.046228357989315,0.001016420046892,0.001226891322714,0.000210471275822,0.0631413827466,0.000210471275822
Treatment,1,3,2,42984,43031,195,47,1.16605574403202,0.858187444911323,0.041341189335139,0.038832968638907,0.001565219057944,0.001016420046892,-0.000548799011053,-0.1646397033159,0
Treatment,1,3,2,42930,42984,148,54,0,1.16605574403202,0,0.041341189335139,0,0.001565219057944,0.001565219057944,0.4695657173832,0.001565219057944
Treatment,1,3,1,43129,43172,336,43,1.08804798215246,0.712839287455017,0.047675113504829,0.041151166951157,0.001942322766164,0.000948081821238,-0.000994240944926,-0.2982722834778,0
Treatment,1,3,1,43054,43129,293,75,1.47591758861736,1.08804798215246,0.042955834623706,0.047675113504829,0.002138928725802,0.001942322766164,-0.000196605959638,-0.0589817878914,0
Treatment,1,3,1,43031,43054,218,23,1.30531484520977,1.47591758861736,0.04301464306457,0.042955834623706,0.001896871037572,0.002138928725802,0.00024205768823,0.072617306469,0.00024205768823
Treatment,1,3,1,42984,43031,195,47,0.808304865169504,1.30531484520977,0.038362127250328,0.04301464306457,0.000934265770173,0.001896871037572,0.0009626052674,0.28878158022,0.0009626052674
Treatment,1,3,1,42930,42984,148,54,0.81075820297242,0.808304865169504,0.045661002772413,0.038362127250328,0.001327614914301,0.000934265770173,-0.000393349144129,-0.1180047432387,0
Treatment,1,3,1,42905,42930,94,25,0,0.81075820297242,0,0.045661002772413,0,0.001327614914301,0.001327614914301,0.3982844742903,0.001327614914301
Treatment,1,4,2,42905,42930,94,25,0,0.416181518128052,0,0.037127204633516,0,0.000450564711899,0.000450564711899,0.1351694135697,0.000450564711899
Treatment,1,4,1,42905,42930,94,25,0,1.19323427965995,0,0.044254043393858,0,0.001835361078179,0.001835361078179,0.5506083234537,0.001835361078179
Treatment,1,5,4,42930,43031,195,101,1.22506359695914,0.938253459083215,0.048831930666831,0.031021337521124,0.002294332234793,0.000709138547633,-0.00158519368716,-0.475558106148,0
Treatment,1,5,4,42905,42930,94,25,0,1.22506359695914,0,0.048831930666831,0,0.002294332234793,0.002294332234793,0.6882996704379,0.002294332234793
Treatment,1,5,3,42905,42930,94,25,0,0.330870195952086,0,0.029805336618658,0,0.00023085303692,0.00023085303692,0.069255911076,0.00023085303692
Treatment,1,5,2,42905,42930,94,25,0,1.47231430983133,0,0.03600027339833,0,0.001498656192055,0.001498656192055,0.4495968576165,0.001498656192055
Treatment,1,5,1,42984,43031,195,47,0.62311199749583,0.720319943149167,0.030845967638789,0.031191808377637,0.000465642692626,0.00055042281709,8.4780124464429E-05,0.025434037339329,8.4780124464429E-05
Treatment,1,5,1,42930,42984,148,54,0.660119097629576,0.62311199749583,0.02023773791236,0.030845967638789,0.000212342102549,0.000465642692626,0.000253300590076,0.0759901770228,0.000253300590076
Treatment,1,5,1,42905,42930,94,25,0.291243475847556,0.660119097629576,0.015172825066652,0.02023773791236,5.26597736800807E-05,0.000212342102549,0.000159682328869,0.0479046986607,0.000159682328869
Treatment,1,5,1,42836,42905,69,69,0,0.291243475847556,0,0.015172825066652,0,5.26597736800807E-05,5.26597736800807E-05,0.015797932104024,5.26597736800807E-05
Treatment,1,6,1,42930,42984,148,54,1.41197473287317,1.35913749558609,0.045480424709415,0.044033695076632,0.002293854303094,0.002069776904716,-0.000224077398377,-0.0672232195131,0
Treatment,1,6,1,42905,42930,94,25,0,1.41197473287317,0,0.045480424709415,0,0.002293854303094,0.002293854303094,0.6881562909282,0.002293854303094
Treatment,1,7,1,42930,42984,148,54,1.26834441227838,1.21545592718376,0.049557967156242,0.055066887900465,0.002446549732529,0.002894744005846,0.000448194273317,0.1344582819951,0.000448194273317
Treatment,1,7,1,42905,42930,94,25,0,1.26834441227838,0,0.049557967156242,0,0.002446549732529,0.002446549732529,0.7339649197587,0.002446549732529
Treatment,1,11,1,42984,43054,218,70,0.803607954719749,1.16077684599473,0.015429640138863,0.046000069425367,0.000150260802152,0.001929103781236,0.001778842979084,0.5336528937252,0.001778842979084
Treatment,1,11,1,42930,42984,148,54,0,0.803607954719749,0,0.015429640138863,0,0.000150260802152,0.000150260802152,0.0450782406456,0.000150260802152
Treatment,1,13,1,42905,42930,94,25,0,0.993803034035514,0,0.030727037927425,0,0.000736939088116,0.000736939088116,0.2210817264348,0.000736939088116
Control,2,4,3,42930,43178,342,248,0.200150541100328,0.146456013118689,0.022327002893072,0.023319503824424,7.83623600480978E-05,6.25512078094912E-05,-1.58111522386066E-05,-0.004743345671582,0
Control,2,4,3,42907,42930,94,23,0.137954726565882,0.200150541100328,0.011569600921945,0.022327002893072,1.45031795538771E-05,7.83623600480978E-05,6.38591804942207E-05,0.019157754148266,6.38591804942207E-05
Control,2,4,3,42836,42907,71,71,0,0.137954726565882,0,0.011569600921945,0,1.45031795538771E-05,1.45031795538771E-05,0.004350953866163,1.45031795538771E-05
Control,2,4,2,42907,43178,342,271,0.544685941923497,0.483607326717352,0.022523192844283,0.018872851775926,0.000217018100767,0.000135287543568,-8.17305571989735E-05,-0.024519167159692,0
Control,2,4,2,42836,42907,71,71,0,0.544685941923497,0,0.022523192844283,0,0.000217018100767,0.000217018100767,0.0651054302301,0.000217018100767
Control,2,4,1,43040,43178,342,138,1.73907154297888,2.12303389236056,0.028806671571107,0.033060463913125,0.001133426839226,0.001822488076006,0.000689061236779,0.2067183710337,0.000689061236779
Control,2,4,1,42983,43040,204,57,1.02860596079084,1.73907154297888,0.026052688591591,0.028806671571107,0.000548332534478,0.001133426839226,0.000585094304748,0.1755282914244,0.000585094304748
Control,2,4,1,42907,42983,147,76,1.39255391319626,1.02860596079084,0.028002440475257,0.026052688591591,0.000857617560171,0.000548332534478,-0.000309285025692,-0.0927855077076,0
Control,2,4,1,42836,42907,71,71,0,1.39255391319626,0,0.028002440475257,0,0.000857617560171,0.000857617560171,0.2572852680513,0.000857617560171
Control,2,5,1,43054,43178,342,124,0.505308271209098,0.545671987701719,0.026276818663413,0.025240324566465,0.00027402605375,0.000273030655323,-9.95398426214763E-07,-0.000298619527864,0
Control,2,5,1,42983,43054,218,71,0,0.505308271209098,0,0.026276818663413,0,0.00027402605375,0.00027402605375,0.082207816125,0.00027402605375
Control,2,9,5,42907,42930,94,23,0,0.217783614659093,0,0.041794214777161,0,0.000298777179725,0.000298777179725,0.0896331539175,0.000298777179725
Control,2,9,4,42907,42930,94,23,0,0.410146585516032,0,0.029211782326189,0,0.000274881234989,0.000274881234989,0.0824643704967,0.000274881234989
Control,2,9,3,42907,42930,94,23,0,1.40633629494265,0,0.048512589530817,0,0.002599488982599,0.002599488982599,0.7798466947797,0.002599488982599
Control,2,9,2,42907,42930,94,23,0.088095176703003,0.936052995562912,0.046861760184205,0.070532555938227,0.000151942478635,0.00365737559624,0.003505433117605,1.0516299352815,0.003505433117605
Control,2,9,2,42863,42907,71,44,0,0.088095176703003,0,0.046861760184205,0,0.000151942478635,0.000151942478635,0.0455827435905,0.000151942478635
Control,2,9,1,42863,42907,71,44,0,1.51715266163095,0,0.110558137556213,0,0.014564668114056,0.014564668114056,4.3694004342168,0.014564668114056
Treatment,4,1,1,42907,42921,85,14,0,1.33039020762765,0,0.122307574569533,0,0.015630599264713,0.015630599264713,4.6891797794139,0.015630599264713
Treatment,4,2,1,42907,42930,94,23,0,0.371744722521785,0,0.041938263679034,0,0.000513517897998,0.000513517897998,0.1540553693994,0.000513517897998
Treatment,4,6,1,42930,42983,147,53,0.152781303959636,0.213685400537713,0.102201541221839,0.096836168980022,0.001253357556993,0.001573765178554,0.000320407621561,0.0961222864683,0.000320407621561
Treatment,4,6,1,42863,42930,94,67,0.075686647446271,0.152781303959636,0.058174020614498,0.102201541221839,0.000201171896821,0.001253357556993,0.001052185660173,0.3156556980519,0.001052185660173
Treatment,4,6,1,42836,42863,27,27,0,0.075686647446271,0,0.058174020614498,0,0.000201171896821,0.000201171896821,0.0603515690463,0.000201171896821
Treatment,4,10,3,42907,42930,94,23,0,0.789146122524035,0,0.02679291169349,0,0.00044492533255,0.00044492533255,0.133477599765,0.00044492533255
Treatment,4,10,2,42907,42930,94,23,0,0.345579294505346,0,0.017497721254532,0,8.30999155818442E-05,8.30999155818442E-05,0.024929974674553,8.30999155818442E-05
Treatment,4,10,1,42907,42930,94,23,0,1.22916960465843,0,0.044544985422164,0,0.001915575774154,0.001915575774154,0.5746727322462,0.001915575774154
Treatment,4,11,3,42907,42930,94,23,0,0.732345635178837,0,0.035209515701935,0,0.000713060011517,0.000713060011517,0.2139180034551,0.000713060011517
Treatment,4,11,2,42907,42930,94,23,0,0.212006945689467,0,0.035740008158067,0,0.000212691074519,0.000212691074519,0.0638073223557,0.000212691074519
Treatment,4,11,1,42907,42930,94,23,0,1.06664989437289,0,0.023366242285029,0,0.000457393014122,0.000457393014122,0.1372179042366,0.000457393014122
Treatment,4,12,2,42907,42930,94,23,0,1.09294858969578,0,0.052758927646285,0,0.002389359701926,0.002389359701926,0.7168079105778,0.002389359701926
Treatment,4,12,1,42907,42930,94,23,0,1.23677582035689,0,0.063755165681859,0,0.003948313463077,0.003948313463077,1.1844940389231,0.003948313463077
Control,5,2,1,42836,42863,27,27,0,0.282215262903788,0,0.063353853936527,0,0.000889644415896,0.000889644415896,0.2668933247688,0.000889644415896
Treatment,1,3,2,43397,43413,577,16,1.25185364258644,1.325892051349,0.038709040321171,0.045621923788081,0.001473222175778,0.002167430786108,0.00069420861033,0.208262583099,0.00069420861033
Treatment,1,3,2,43369,43397,561,28,0,1.25185364258644,0,0.038709040321171,0,0.001473222175778,0.001473222175778,0.4419666527334,0.001473222175778
Treatment,1,3,1,43397,43413,577,16,0.922087449801587,0.852455002894206,0.030713114966407,0.035035869656249,0.000683140012358,0.00082183976175,0.000138699749392,0.0416099248176,0.000138699749392
Treatment,1,3,1,43369,43397,561,28,0,0.922087449801587,0,0.030713114966407,0,0.000683140012358,0.000683140012358,0.2049420037074,0.000683140012358
Treatment,1,7,1,43299,43340,504,41,0,0.622790538406234,0,0.055872584990559,0,0.001526966175882,0.001526966175882,0.4580898527646,0.001526966175882
Treatment,1,11,1,43397,43413,577,16,0.825121238441522,0.831625337631699,0.021830857048906,0.039108899613288,0.000308851147286,0.000999007588953,0.000690156441667,0.2070469325001,0.000690156441667
Treatment,1,11,1,43369,43397,561,28,0.985795688403576,0.825121238441522,0.031717925034816,0.021830857048906,0.000778908301208,0.000308851147286,-0.000470057153921,-0.1410171461763,0
Treatment,1,11,1,43340,43369,533,29,0.34948108417595,0.985795688403576,0.022007385252092,0.031717925034816,0.000132938400132,0.000778908301208,0.000645969901075,0.1937909703225,0.000645969901075
Treatment,1,11,1,43299,43340,504,41,0,0.34948108417595,0,0.022007385252092,0,0.000132938400132,0.000132938400132,0.0398815200396,0.000132938400132
Treatment,6,6,2,43481,43542,706,61,0.194303475625332,0.238136705948029,0.033354778869199,0.028196034524248,0.000169780020653,0.000148693604921,-2.10864157320564E-05,-0.006325924719617,0
Treatment,6,6,2,43425,43481,645,56,0.011571274192031,0.194303475625332,0.030376666357902,0.033354778869199,8.3859310711223E-06,0.000169780020653,0.000161394089581,0.0484182268743,0.000161394089581
Treatment,6,6,2,43397,43425,589,28,0,0.011571274192031,0,0.030376666357902,0,8.3859310711223E-06,8.3859310711223E-06,0.002515779321337,8.3859310711223E-06
Treatment,6,6,1,43299,43340,504,41,0.619864292377365,0.745048957290199,0.048940659336322,0.049790735814165,0.001166074055225,0.001450680526951,0.000284606471726,0.0853819415178,0.000284606471726
Treatment,6,6,1,43273,43299,463,26,0,0.619864292377365,0,0.048940659336322,0,0.001166074055225,0.001166074055225,0.3498222165675,0.001166074055225
Control,5,1,1,43340,43397,561,57,0.415654383547637,0.403832009242712,0.023551114531506,0.027188347147366,0.000181069447036,0.00023445323745,5.33837904136726E-05,0.016015137124102,5.33837904136726E-05
Control,5,1,1,43273,43340,504,67,0.402055904001899,0.415654383547637,0.022762906846275,0.023551114531506,0.000163618259116,0.000181069447036,1.74511879195231E-05,0.005235356375857,1.74511879195231E-05
Control,5,1,1,43213,43273,437,60,0.227530760423244,0.402055904001899,0.018000544379659,0.022762906846275,5.79030283984241E-05,0.000163618259116,0.000105715230718,0.0317145692154,0.000105715230718
Control,3,4,1,43273,43299,463,26,0.128237775601761,0.275285922045514,0.011820648419374,0.016745051141667,1.40730573739399E-05,6.06243144156728E-05,4.65512570417329E-05,0.01396537711252,4.65512570417329E-05
