Array Type,Array,z,Root number,Previous sampling date,Current sampling date,Days since 11/04/2017,Days between sampling,Root previous length (cm),Root current length (cm),Production
Control,5,13,2,19/06/2017,18/10/2017,190,121,0.84588826,0.4585898,0
Control,5,13,2,18/10/2017,30/01/2018,294,104,0.4585898,0.4835671,1.75E-05
Treatment,6,1,1,19/06/2017,17/07/2017,97,28,0,1.406767,26.22511607
Treatment,6,1,1,17/07/2017,05/09/2017,147,50,1.406767,0,0
Treatment,6,2,1,11/04/2017,08/05/2017,27,27,0,0.9409693,0.035923326
Treatment,6,2,1,08/05/2017,19/06/2017,69,42,0.9409693,0,0
Treatment,6,2,2,19/06/2017,17/07/2017,97,28,0,1.465978,0.037121274
Treatment,6,2,2,17/07/2017,05/09/2017,147,50,1.465978,0,0
Treatment,6,2,3,13/11/2017,29/01/2018,293,77,0,0.7019008,0.037625046
Treatment,6,2,3,29/01/2018,13/03/2018,336,43,0.7019008,0,0
Treatment,6,4,1,05/09/2017,18/10/2017,190,43,0,1.1669531,0.005303816
Treatment,6,4,1,18/10/2017,13/11/2017,216,26,1.1669531,0,0
Treatment,6,4,2,05/09/2017,18/10/2017,190,43,0,0.5829941,0.007309145
Treatment,6,4,2,18/10/2017,13/11/2017,216,26,0.5829941,0,0
Treatment,6,5,1,19/06/2017,17/07/2017,97,28,0,0.6352479,0.0484762
Treatment,6,5,1,17/07/2017,05/09/2017,147,50,0.6352479,0,0
Treatment,1,1,1,23/04/2018,25/05/2018,409,32,0,7.099943,1.676522636
Treatment,1,1,1,25/05/2018,22/06/2018,437,28,7.099943,7.099943,0
Treatment,1,1,1,22/06/2018,18/07/2018,463,26,7.099943,9.004634,0.039315605
Treatment,1,1,1,18/07/2018,24/10/2018,561,98,9.004634,9.85111,0.015914056
Treatment,1,3,1,23/04/2018,25/05/2018,409,32,0,2.0418546,0.697984528
Treatment,1,3,1,25/05/2018,28/08/2018,504,95,2.0418546,1.7379813,0
Treatment,1,3,1,28/08/2018,24/10/2018,561,57,1.7379813,2.334397,0.018499505
Treatment,1,3,1,24/10/2018,16/01/2019,645,84,2.334397,1.2511659,0
Treatment,1,3,1,16/01/2019,18/03/2019,706,61,1.2511659,1.1464347,0
Treatment,1,3,2,16/01/2019,18/03/2019,706,61,0,3.4059074,0.450750486
Treatment,1,4,1,22/06/2018,18/07/2018,463,26,0,10.014499,2.338010806
Treatment,1,4,1,18/07/2018,28/08/2018,504,41,10.014499,9.905494,0
Treatment,1,4,1,28/08/2018,24/10/2018,561,57,9.905494,8.543539,0
Treatment,1,4,1,24/10/2018,16/01/2019,645,84,8.543539,3.471827,0
Treatment,1,6,1,22/06/2018,18/07/2018,463,26,0,11.436395,2.261089299
Treatment,1,6,1,18/07/2018,28/08/2018,504,41,11.436395,5.673736,0
Treatment,1,6,1,28/08/2018,24/10/2018,561,57,5.673736,6.623107,0.006340271
Treatment,1,6,1,24/10/2018,18/03/2019,706,145,6.623107,6.790636,0
Treatment,1,9,1,23/04/2018,25/05/2018,409,32,0,3.554455,1.515334227
Treatment,1,9,1,25/05/2018,18/07/2018,463,54,3.554455,7.432494,0.159056496
Treatment,1,9,1,18/07/2018,28/08/2018,504,41,7.432494,7.8854194,0.180074668
Treatment,1,9,1,28/08/2018,24/10/2018,561,57,7.8854194,3.2954044,0
Treatment,1,9,1,24/10/2018,16/01/2019,645,84,3.2954044,0,0
Treatment,1,9,2,23/04/2018,25/05/2018,409,32,0,3.0933082,1.7342244
Treatment,1,9,2,25/05/2018,18/07/2018,463,54,3.0933082,3.3324296,0.018450003
Treatment,1,9,2,18/07/2018,28/08/2018,504,41,3.3324296,3.6202004,0.008529361
Treatment,1,9,2,28/08/2018,24/10/2018,561,57,3.6202004,5.125322,0.018230659
Treatment,1,9,2,24/10/2018,16/01/2019,645,84,5.125322,0,0
Treatment,1,10,1,22/06/2018,18/07/2018,463,26,0,2.8902657,1.95323513
Treatment,1,10,1,18/07/2018,28/08/2018,504,41,2.8902657,7.5087075,0.019565296
Treatment,1,10,1,28/08/2018,18/03/2019,706,202,7.5087075,6.858648,0
Control,2,1,1,25/04/2018,23/05/2018,407,28,0,0.043214325,0.005527728
Control,2,1,1,23/05/2018,18/07/2018,463,56,0.043214325,2.8769438,0.012729675
Control,2,1,1,18/07/2018,28/08/2018,504,41,2.8769438,1.650185,0
Control,2,1,1,28/08/2018,18/03/2019,706,202,1.650185,3.980359,0.061262431
Control,2,3,1,18/07/2018,16/01/2019,645,182,7.03455,8.30826,0.40203013
Control,2,5,1,22/06/2018,18/07/2018,463,26,0,4.3256426,2.029953563
Control,2,5,1,18/07/2018,24/10/2018,561,98,4.3256426,6.7764173,0
Control,2,5,1,24/10/2018,21/11/2018,589,28,4.3256426,0,0
Control,2,13,1,23/05/2018,22/06/2018,437,30,0,8.56513,1.282228145
Control,2,13,1,22/06/2018,18/07/2018,463,26,8.56513,8.250032,0
Control,2,13,1,18/07/2018,24/10/2018,561,98,8.250032,8.475139,0.000104022
Control,2,13,1,24/10/2018,16/01/2019,645,84,8.475139,8.683023,0
Control,2,13,1,16/01/2019,18/03/2019,706,61,8.683023,10.160918,0.193295817
Control,3,1,1,23/04/2018,16/01/2019,645,268,3.8147373,3.8147373,0
Control,3,7,1,23/04/2018,18/03/2019,706,329,5.5843654,5.5843654,0
Control,3,8,1,23/04/2018,22/06/2018,437,60,0,4.297603,2.557892672
Control,3,8,1,22/06/2018,18/03/2019,706,269,4.297603,4.297603,0
Control,3,10,1,25/05/2018,22/06/2018,437,28,0,6.1908865,9.295737893
Control,3,10,1,22/06/2018,18/03/2019,706,269,6.1908865,6.1908865,0
Control,3,12,1,16/01/2019,18/03/2019,706,61,0,7.4297543,8.70626912
Treatment,4,1,1,25/04/2018,23/05/2018,407,28,1.7330153,3.4660306,0
Treatment,4,1,1,23/05/2018,18/07/2018,463,56,3.4660306,5.238449,0.008120987
Treatment,4,1,1,18/07/2018,28/08/2018,504,41,5.238449,7.6259456,0.000185657
