image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
R4_6580_O_Lp1of2_0001, TEST, b1041b9a-5978-48e2-8466-caf111cf9f29, 1.0273829, 1.0273829, 0.136646, 0.0015230327, 269.4396246429808, 0.042330723, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
R4_6580_O_Lp1of2_0001, R4_O_L_32EM, 4d651a12-52d2-4f3b-9bc6-ca3b327eaff5, 0.24704447, 0.24704447, 0.016439358, 9.158994E-5, 215.17222806447708, 0.021169215, 2, Lateral root, R4_O_L_32FH, 172ae1a5-386d-4d62-93e5-ec8239f8e43c, 0.1326336, 3.500048477902994, 0, 0.0, null, null, null, null
R4_6580_O_Lp1of2_0001, R4_O_L_32FH, 172ae1a5-386d-4d62-93e5-ec8239f8e43c, 0.37999117, 0.31468126, 0.02586253, 1.4887576E-4, 215.09553870047617, 0.022284683, 1, Lateral root, R4_O_L_32, 2b45d275-a48d-4cad-80b7-09f08552c780, 1.4877034, 6.578319114179361, 1, 0.0, 4d651a12-52d2-4f3b-9bc6-ca3b327eaff5, 0.1326336, 4d651a12-52d2-4f3b-9bc6-ca3b327eaff5, 0.1326336
R4_6580_O_Lp1of2_0001, R4_O_L_32RR, dd881a03-6f88-4903-9dde-ccbf4ba1cb8f, 0.21256125, 0.21256125, 0.014042597, 7.4730066E-5, 356.65895468350925, 0.021024851, 2, Lateral root, R4_O_L_32DF, e8de04fb-d273-4eb4-9142-2ddbe8e3a733, 0.9465002, 70.2378678392326, 0, 0.0, null, null, null, null
R4_6580_O_Lp1of2_0001, R4_O_L_32EL, a333072b-5562-4a66-9b7a-0e6423ea9e8e, 0.10471377, 0.10471377, 0.0071632704, 3.9003913E-5, 231.0252473922384, 0.021774607, 3, Lateral root, R4_O_L_32WW, b1dd7c58-d152-4604-8540-592fbfbcf521, 0.14322475, 68.9867957493397, 0, 0.0, null, null, null, null
R4_6580_O_Lp1of2_0001, R4_O_L_32WW, b1dd7c58-d152-4604-8540-592fbfbcf521, 0.208818, 0.17988044, 0.015043441, 8.993343E-5, 269.4077413199352, 0.023864282, 2, Lateral root, R4_O_L_32DF, e8de04fb-d273-4eb4-9142-2ddbe8e3a733, 0.77597994, 33.16002200527831, 1, 0.0, a333072b-5562-4a66-9b7a-0e6423ea9e8e, 0.14322475, a333072b-5562-4a66-9b7a-0e6423ea9e8e, 0.14322475
R4_6580_O_Lp1of2_0001, R4_O_L_32ER, 1de1cc10-a3c1-41ef-a1e1-d205e6fc20d6, 0.19632183, 0.18855436, 0.0115024205, 6.0328694E-5, 283.365424134153, 0.021168264, 3, Lateral root, R4_O_L_32HU, bc6251da-ca3b-484a-a8c5-dabede7d2fcf, 0.34917518, 30.552966119841116, 0, 0.0, null, null, null, null
R4_6580_O_Lp1of2_0001, R4_O_L_32HU, bc6251da-ca3b-484a-a8c5-dabede7d2fcf, 0.97169536, 0.8915274, 0.05968105, 3.069177E-4, 226.55610435413732, 0.019842971, 2, Lateral root, R4_O_L_32DF, e8de04fb-d273-4eb4-9142-2ddbe8e3a733, 0.47385976, 99.2297532431323, 1, 0.0, 1de1cc10-a3c1-41ef-a1e1-d205e6fc20d6, 0.34917518, 1de1cc10-a3c1-41ef-a1e1-d205e6fc20d6, 0.34917518
R4_6580_O_Lp1of2_0001, R4_O_L_32DF, e8de04fb-d273-4eb4-9142-2ddbe8e3a733, 1.3462584, 1.0630982, 0.08638344, 4.864997E-4, 270.87989297288306, 0.02103432, 1, Lateral root, R4_O_L_32, 2b45d275-a48d-4cad-80b7-09f08552c780, 1.1635865, 28.104657491093366, 3, 6.3473206, bc6251da-ca3b-484a-a8c5-dabede7d2fcf, 0.47385976, dd881a03-6f88-4903-9dde-ccbf4ba1cb8f, 0.9465002
R4_6580_O_Lp1of2_0001, R4_O_L_32ZZ, 8ab1f073-b674-4017-b578-c273d38cd61d, 0.34049496, 0.32997617, 0.02465566, 1.4561355E-4, 233.3857880901515, 0.021071112, 1, Lateral root, R4_O_L_32, 2b45d275-a48d-4cad-80b7-09f08552c780, 2.0066564, 45.68570101848959, 0, 0.0, null, null, null, null
