image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
R1_8446_B_L_20190326_0002, R1_B_L_2A, 0b322ae8-5e21-45e0-8935-56e8356532a2,1.8043091,1.7915149,0.38435182,0.007366953,133.6968959,0.07061957,1, Lateral root, R1_B_L_2, 55a10fc3-34f8-4304-873b-4d62e0e72097,4.4477935,93.42425637,0,0, null, null, null, null
R1_8446_B_L_20190326_0002, R1_B_L_2, 55a10fc3-34f8-4304-873b-4d62e0e72097,5.7907286,4.881992,2.9488184,0.1275241,69.27025543,0.14665687,0, Primary root,-1,-1,-0.008466667,-57.29577951,1,0, 0b322ae8-5e21-45e0-8935-56e8356532a2,4.4477935, 0b322ae8-5e21-45e0-8935-56e8356532a2,4.4477935
R1_8446_B_L_20190326_0002, R1_B_L_3C, 4123a749-b461-4807-a305-ce37f695041a,1.4271151,1.3615694,0.3102205,0.005566263,58.41205099,0.06683288,1, Lateral root, R1_B_L_3, a4b39164-a99c-4fb5-bfd2-2269914c3f26,1.0530239,115.2703432,0,0, null, null, null, null
R1_8446_B_L_20190326_0002, R1_B_L_3B, 12df1745-9aa8-44b9-96e6-e484f0734925,1.6871313,1.5901786,0.2149768,0.002404292,85.43478603,0.039499708,1, Lateral root, R1_B_L_3, a4b39164-a99c-4fb5-bfd2-2269914c3f26,1.5208462,168.8258838,0,0, null, null, null, null
R1_8446_B_L_20190326_0002, R1_B_L_3A, 632e9d33-512e-47fd-98b4-0154657b6d19,0.82058316,0.7193933,0.19172482,0.004115222,44.34563839,0.06544254,1, Lateral root, R1_B_L_3, a4b39164-a99c-4fb5-bfd2-2269914c3f26,1.7258025,99.74089728,0,0, null, null, null, null
R1_8446_B_L_20190326_0002, R1_B_L_3, a4b39164-a99c-4fb5-bfd2-2269914c3f26,5.3199334,5.255184,2.111042,0.07047944,281.7720503,0.12114512,0, Primary root,-1,-1,-0.008466667,-57.29577951,3,4.45912, 4123a749-b461-4807-a305-ce37f695041a,1.0530239, 632e9d33-512e-47fd-98b4-0154657b6d19,1.7258025
R1_8446_B_L_20190326_0002, R1_B_L_1B, d83e5efa-0fd7-48f6-9e33-c5e4d9b6105b,0.3850747,0.33036062,0.043333396,5.02E-04,40.3651305,0.033741094,1, Lateral root, R1_B_L_1, b2221646-3483-43b6-a354-1478b5da5cfe,0.26961607,100.5448652,0,0, null, null, null, null
R1_8446_B_L_20190326_0002, R1_B_L_1A, 4a5fdaa3-7994-4ada-a893-7c825fae502c,0.7488,0.6647421,0.112358764,0.001537895,68.51073156,0.046464186,1, Lateral root, R1_B_L_1, b2221646-3483-43b6-a354-1478b5da5cfe,0.5228485,160.6021995,0,0, null, null, null, null
R1_8446_B_L_20190326_0002, R1_B_L_1, b2221646-3483-43b6-a354-1478b5da5cfe,2.2118335,1.246567,0.4142823,0.007202577,148.7276424,0.053243455,0, Primary root,-1,-1,-0.008466667,-57.29577951,2,7.897882, d83e5efa-0fd7-48f6-9e33-c5e4d9b6105b,0.26961607, 4a5fdaa3-7994-4ada-a893-7c825fae502c,0.5228485
R1_8446_B_L_20190326_0002, R1_B_L_10D, 36a9d34a-a4fe-4d23-84e7-49abe16d6b9f,0.05552263,0.055522636,0.001847348,4.95E-06,4.352397176,0.010583115,1, Lateral root, R1_B_L_10, ce2d8656-abbb-4dbb-b400-cfa4fd213e3a,0.42306042,48.62652093,0,0, null, null, null, null
